confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
6.0	9	1	46	2	2321	42893	0.043478260869565216
6.0	9	7	2	1	975	16157	0.5
6.0	9	8	28	2	585	8886	0.07142857142857142
6.0	10	1	62	2	2090	42005	0.03225806451612903
6.0	10	10	29	2	647	10634	0.06896551724137931
6.0	12	1	18	5	1952	36963	0.2777777777777778
6.0	12	26	25	66	931	23684	2.64
6.0	13	1	32	3	1913	47351	0.09375
6.0	13	4	10	4	226	2982	0.4
6.0	13	10	4	4	1701	37116	1.0
6.0	14	1	61	4	2268	39743	0.06557377049180328
6.0	14	6	2	1	1150	20976	0.5
6.0	14	9	38	112	1057	16679	2.9473684210526314
6.0	14	17	56	2	1277	22064	0.03571428571428571
6.0	14	24	2	2	1269	22026	1.0
6.0	15	2	5	4	1517	31911	0.8
6.0	15	3	5	2	3325	69379	0.4
6.0	15	4	30	2	767	13986	0.06666666666666667
6.0	15	13	50	7	2061	39375	0.14
6.0	15	34	27	3	1302	25341	0.1111111111111111
6.0	16	1	1	4	263	3455	4.0
6.0	16	2	5	1	752	12109	0.2
6.0	16	6	5	3	685	10804	0.6
6.0	16	7	14	5	1344	22395	0.35714285714285715
6.0	16	20	17	3	487	7626	0.17647058823529413
6.0	17	1	24	1	467	8561	0.041666666666666664
6.0	17	2	1	5	1525	26182	5.0
6.0	17	23	19	44	415	7336	2.3157894736842106
6.0	18	1	41	1	2423	51695	0.024390243902439025
6.0	18	15	38	162	1702	29326	4.2631578947368425
6.0	18	21	20	3	423	8177	0.15
6.0	18	26	3	4	394	7332	1.3333333333333333
6.0	18	34	16	1	321	5250	0.0625
6.0	18	35	3	3	279	5464	1.0
6.0	19	1	5	4	3029	66298	0.8
6.0	19	15	13	4	245	3442	0.3076923076923077
6.0	19	16	1	1	829	15462	1.0
6.0	19	18	19	2	313	4700	0.10526315789473684
6.0	19	71	19	2	534	8725	0.10526315789473684
6.0	20	1	26	3	341	5542	0.11538461538461539
6.0	20	2	3	1	1926	34755	0.3333333333333333
6.0	20	7	26	4	403	6187	0.15384615384615385
6.0	20	17	5	6	494	7670	1.2
6.0	20	49	26	4	353	5313	0.15384615384615385
6.0	21	2	26	3	474	10000	0.11538461538461539
6.0	21	3	35	1	2188	44451	0.02857142857142857
6.0	21	6	2	3	599	11175	1.5
6.0	21	14	9	3	207	3420	0.3333333333333333
6.0	21	48	18	3	365	6818	0.16666666666666666
6.0	23	1	37	81	1129	17965	2.189189189189189
6.0	23	3	7	6	274	4738	0.8571428571428571
6.0	23	6	22	3	656	10977	0.13636363636363635
6.0	23	15	43	1	1611	29730	0.023255813953488372
6.0	23	40	26	120	1309	22254	4.615384615384615
6.0	24	1	3	3	513	8895	1.0
6.0	24	2	8	4	4078	113684	0.5
6.0	24	5	2	3	2278	48465	1.5
6.0	24	6	17	2	620	10113	0.11764705882352941
6.0	25	1	61	2	3958	101016	0.03278688524590164
6.0	25	2	50	4	5479	147110	0.08
6.0	26	1	3	1	7435	149485	0.3333333333333333
6.0	26	16	18	2	247	3282	0.1111111111111111
6.0	26	70	3	3	435	7012	1.0
6.0	27	1	3	2	507	7410	0.6666666666666666
6.0	27	2	1	3	3373	66228	3.0
6.0	28	1	18	3	214	3712	0.16666666666666666
6.0	29	3	21	6	321	4251	0.2857142857142857
6.0	52	2	99	2	4398	105023	0.020202020202020204
6.0	52	5	79	117	1601	37266	1.481012658227848
6.0	52	11	76	2	2367	50304	0.02631578947368421
6.0	52	15	10	86	1319	32150	8.6
6.0	53	1	18	59	368	5417	3.2777777777777777
6.0	54	1	11	2	215	2794	0.18181818181818182
6.0	56	1	3	144	1237	25658	48.0
6.0	56	3	18	39	510	7480	2.1666666666666665
6.0	57	1	24	3	946	16424	0.125
6.0	57	2	64	2	2556	68169	0.03125
6.0	57	7	21	146	1491	38736	6.9523809523809526
6.0	58	1	1	1	2112	56147	1.0
6.0	58	3	33	3	2235	76267	0.09090909090909091
6.0	59	1	61	3	2464	62812	0.04918032786885246
6.0	59	5	21	6	1332	25845	0.2857142857142857
6.0	59	6	23	158	1858	42440	6.869565217391305
